,PREC.I.1..in.,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
22992,8.1,8.20E-01,-2.33E+00,-5.90E-01,1.09E+00,2.40E-01,9.30E-01,3.00E-02,6.00E-02
22993,8.1,4.10E-01,-2.49E+00,-5.80E-01,1.02E+00,2.80E-01,8.70E-01,3.00E-02,6.00E-02
22994,8.1,2.50E-01,-2.46E+00,-5.20E-01,9.70E-01,2.10E-01,1.09E+00,3.00E-02,6.00E-02
22995,8.1,4.00E-02,-2.53E+00,-5.60E-01,9.60E-01,2.80E-01,1.06E+00,4.00E-02,7.00E-02
22996,8.1,-5.70E-01,-2.40E+00,-3.10E-01,5.00E-01,1.30E-01,9.60E-01,4.00E-02,3.00E-02
22997,8.1,-1.20E-01,-2.43E+00,3.50E-01,8.00E-02,-1.30E-01,4.80E-01,3.00E-02,-4.00E-02
22998,8.1,8.30E-01,-1.64E+00,4.40E-01,-3.60E-01,7.00E-02,-2.60E-01,1.00E-02,-2.00E-02
22999,8.1,2.53E+00,-2.90E-01,-1.80E-01,-3.40E-01,6.10E-01,-2.60E-01,1.00E-02,1.00E-01
23000,8.1,3.19E+00,1.50E-01,-9.00E-02,-5.10E-01,6.70E-01,-6.00E-01,1.00E-02,1.10E-01
23001,8.1,3.63E+00,4.10E-01,-6.00E-02,-5.90E-01,7.00E-01,-6.90E-01,1.00E-02,1.20E-01
23002,8.1,4.02E+00,4.70E-01,-8.00E-02,-5.00E-01,7.20E-01,-7.50E-01,1.00E-02,1.20E-01
23003,8.1,4.35E+00,6.00E-01,-3.00E-02,-4.70E-01,5.90E-01,-4.90E-01,1.00E-02,1.10E-01
23004,8.1,4.61E+00,8.20E-01,-4.00E-02,-4.40E-01,4.20E-01,-9.00E-02,1.00E-02,8.00E-02
23005,8.1,4.89E+00,9.70E-01,1.00E-02,-4.10E-01,2.10E-01,3.50E-01,1.00E-02,6.00E-02
23006,8.1,4.80E+00,8.10E-01,-6.00E-02,-2.70E-01,1.40E-01,3.80E-01,1.00E-02,4.00E-02
23007,8.1,4.56E+00,4.30E-01,-1.70E-01,-1.50E-01,1.80E-01,2.80E-01,1.00E-02,3.00E-02
23008,8.1,4.42E+00,4.40E-01,-1.90E-01,-1.40E-01,0.00E+00,7.00E-01,1.00E-02,0.00E+00
23009,8.1,3.97E+00,-1.00E-02,-3.70E-01,1.40E-01,6.00E-02,5.30E-01,1.00E-02,0.00E+00
23010,8.1,2.82E+00,-1.51E+00,-6.60E-01,1.01E+00,2.50E-01,3.10E-01,1.00E-02,3.00E-02
23011,8.1,2.01E+00,-2.08E+00,-7.50E-01,1.23E+00,3.40E-01,1.20E-01,2.00E-02,4.00E-02
23012,8.1,1.16E+00,-2.63E+00,-1.00E+00,1.31E+00,6.10E-01,-7.10E-01,-5.00E-02,7.00E-02
23013,8.1,8.50E-01,-2.84E+00,-9.80E-01,1.42E+00,5.80E-01,-7.30E-01,-5.00E-02,6.00E-02
