,SMS.I.1..2..pct....silt.,V1,V2,V3,V4V,5V,V6,V7,V8
24693,7.3,-1.35E+00,-1.45E+00,-2.87E-01,-1.14E+00,2.07E-02,3.14E-02,-9.55E-02,-4.66E-01
24694,6.5,-1.26E+00,-1.55E+00,-4.48E-01,-1.09E+00,2.36E-02,2.99E-02,-9.13E-02,-4.53E-01
24695,2.7,-1.29E+00,-1.66E+00,-5.03E-01,-9.39E-01,7.26E-03,3.97E-02,-1.57E-01,-4.21E-01
24696,3.1,-1.32E+00,-1.63E+00,-5.56E-01,-9.96E-01,1.18E-02,3.52E-02,-1.24E-01,-3.75E-01
24697,2.4,-1.27E+00,-1.71E+00,-7.44E-01,-9.29E-01,1.34E-02,3.73E-02,-1.55E-01,-4.69E-01
24698,1.9,-1.21E+00,-1.73E+00,-7.31E-01,-9.22E-01,1.49E-02,3.76E-02,-1.55E-01,-4.51E-01
24699,2.1,-1.19E+00,-1.78E+00,-7.95E-01,-9.27E-01,1.24E-02,3.66E-02,-1.55E-01,-4.25E-01
24700,2.9,-1.09E+00,-1.78E+00,-8.54E-01,-9.42E-01,2.73E-02,3.11E-02,-1.18E-01,-4.72E-01
24701,4.6,-1.02E+00,-1.78E+00,-9.01E-01,-9.63E-01,2.47E-02,2.83E-02,-1.15E-01,-4.47E-01
24702,4.5,-9.55E-01,-1.85E+00,-9.83E-01,-9.46E-01,2.89E-02,2.71E-02,-1.13E-01,-4.74E-01
24703,4.7,-9.51E-01,-1.79E+00,-9.81E-01,-9.44E-01,3.04E-02,2.68E-02,-1.13E-01,-4.88E-01
24704,4.4,-9.28E-01,-1.87E+00,-1.07E+00,-9.28E-01,3.11E-02,2.62E-02,-1.11E-01,-4.97E-01
24705,5.3,-8.72E-01,-1.88E+00,-1.08E+00,-9.42E-01,3.28E-02,2.47E-02,-1.10E-01,-5.03E-01
24706,5.5,-8.00E-01,-1.89E+00,-1.09E+00,-9.41E-01,3.71E-02,2.41E-02,-1.10E-01,-5.27E-01
24707,5.2,-7.88E-01,-1.94E+00,-1.08E+00,-9.32E-01,3.21E-02,2.39E-02,-1.08E-01,-4.55E-01
24708,5.2,-7.92E-01,-1.90E+00,-9.97E-01,-9.45E-01,2.89E-02,2.46E-02,-1.10E-01,-4.00E-01
