,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,7,V8
33301,7.3,-1.07E+00,1.05E+00,-6.87E-01,-1.31E-03,1.71E-01,-1.34E+00,7.54E-01,-1.99E-02
33302,7.1,-1.00E+00,1.34E+00,1.19E-02,-2.77E-03,6.23E-02,-1.99E+00,7.26E-01,-9.18E-03
33303,7.1,-1.05E+00,1.17E+00,-3.87E-01,-2.61E-03,1.13E-01,-1.66E+00,7.36E-01,-1.57E-02
33304,7.2,-1.07E+00,9.93E-01,-7.85E-01,-2.16E-03,1.68E-01,-1.29E+00,7.58E-01,-3.71E-02
33305,7.1,-1.12E+00,9.00E-01,-1.02E+00,-2.17E-03,1.93E-01,-1.08E+00,7.48E-01,-2.69E-02
33306,7.1,-1.05E+00,1.06E+00,-6.34E-01,-2.85E-03,1.41E-01,-1.46E+00,7.32E-01,-3.70E-02
33307,7.5,-1.05E+00,9.94E-01,-7.07E-01,-1.56E-03,1.83E-01,-1.37E+00,7.47E-01,-3.47E-02
33308,7.2,-1.09E+00,8.89E-01,-9.67E-01,-2.55E-03,1.89E-01,-1.16E+00,7.36E-01,-4.16E-02
33309,7.5,-1.11E+00,8.09E-01,-1.12E+00,-1.14E-03,2.43E-01,-1.01E+00,7.47E-01,-2.57E-02
33310,7.1,-1.14E+00,7.65E-01,-1.28E+00,-2.64E-03,2.24E-01,-9.05E-01,7.31E-01,-3.21E-02
33311,7.3,-1.14E+00,7.01E-01,-1.37E+00,-1.89E-03,2.58E-01,-8.33E-01,7.44E-01,-3.08E-02
33312,7,-1.16E+00,6.95E-01,-1.46E+00,-3.00E-03,2.42E-01,-7.73E-01,7.14E-01,-3.75E-02
33313,7.2,-1.15E+00,6.72E-01,-1.47E+00,-2.08E-03,2.67E-01,-7.52E-01,7.27E-01,-3.51E-02
33314,7.2,-1.16E+00,5.80E-01,-1.66E+00,-2.48E-03,2.81E-01,-5.98E-01,7.36E-01,-5.40E-02
33315,7.1,-1.15E+00,6.22E-01,-1.58E+00,-3.07E-03,2.58E-01,-6.73E-01,7.27E-01,-5.41E-02
33316,7,-1.17E+00,6.17E-01,-1.61E+00,-3.34E-03,2.57E-01,-6.79E-01,7.15E-01,-3.95E-02
33317,7.1,-1.18E+00,5.30E-01,-1.79E+00,-3.11E-03,2.83E-01,-5.11E-01,7.31E-01,-5.73E-02
33318,7.2,-1.16E+00,5.47E-01,-1.72E+00,-2.67E-03,2.87E-01,-5.65E-01,7.36E-01,-5.47E-02
33319,7.1,-1.16E+00,5.67E-01,-1.71E+00,-3.08E-03,2.78E-01,-5.86E-01,7.14E-01,-5.75E-02
33320,7.1,-1.18E+00,4.90E-01,-1.85E+00,-3.27E-03,2.93E-01,-4.67E-01,7.12E-01,-5.98E-02
33321,7.1,-1.17E+00,5.14E-01,-1.82E+00,-3.07E-03,2.91E-01,-4.81E-01,7.13E-01,-5.95E-02
33322,7.2,-1.16E+00,5.12E-01,-1.78E+00,-2.85E-03,2.96E-01,-5.30E-01,7.17E-01,-5.71E-02
33323,7,-1.17E+00,5.60E-01,-1.72E+00,-3.25E-03,2.68E-01,-5.14E-01,6.98E-01,-6.00E-02
33324,7,-1.16E+00,5.65E-01,-1.74E+00,-2.88E-03,2.79E-01,-4.84E-01,6.85E-01,-6.21E-02
33325,7.3,-1.13E+00,5.87E-01,-1.55E+00,-2.60E-03,2.78E-01,-6.92E-01,6.88E-01,-5.44E-02
33326,7.3,-1.08E+00,7.66E-01,-1.12E+00,-3.19E-03,2.21E-01,-1.11E+00,6.79E-01,-4.67E-02
33327,7.1,-1.04E+00,9.34E-01,-7.28E-01,-4.72E-03,1.47E-01,-1.48E+00,6.35E-01,-4.41E-02
33328,7.2,-9.36E-01,1.19E+00,-8.71E-02,-6.14E-03,4.13E-02,-2.05E+00,6.28E-01,1.60E-02
33329,7.1,-1.00E+00,1.11E+00,-3.06E-01,-5.24E-03,8.85E-02,-1.86E+00,6.22E-01,-3.72E-02
