,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
4020,11.5,-1.50E+00,-4.09E-01,1.89E+00,3.63E-02,3.82E-01,6.92E-01,-6.82E-01,-1.28E-01
4021,11.5,-1.51E+00,-4.23E-01,1.89E+00,3.69E-02,3.94E-01,7.71E-01,-7.57E-01,-1.58E-01
4022,11.5,-1.49E+00,-3.98E-01,1.85E+00,3.51E-02,3.62E-01,7.68E-01,-7.83E-01,-1.56E-01
4023,11.5,-1.58E+00,-2.96E-01,1.68E+00,3.16E-02,3.55E-01,5.53E-01,-8.47E-01,-2.13E-01
4024,11.1,-1.56E+00,-2.80E-01,1.57E+00,2.60E-02,2.69E-01,4.32E-01,-8.36E-01,-2.31E-01
4025,11.5,-1.52E+00,-2.10E-01,1.43E+00,2.59E-02,3.16E-01,3.08E-01,-7.53E-01,-1.97E-01
4026,11.4,-1.46E+00,-2.18E-01,1.34E+00,2.49E-02,3.18E-01,2.39E-01,-6.06E-01,-1.58E-01
4027,11.5,-1.37E+00,-2.03E-01,8.57E-01,2.03E-02,3.34E-01,2.33E-01,-4.99E-01,-1.25E-01
4028,11.6,-1.32E+00,-1.50E-01,3.69E-01,1.51E-02,3.42E-01,2.04E-01,-4.41E-01,-1.15E-01
4029,11.3,-1.27E+00,-1.71E-01,1.66E-02,1.09E-02,3.27E-01,2.38E-01,-3.72E-01,-1.08E-01
4030,11.2,-1.13E+00,-2.40E-01,-2.35E-01,9.09E-03,3.41E-01,2.44E-01,-1.33E-01,-3.30E-02
4031,11.3,-1.15E+00,-1.96E-01,-3.53E-01,7.63E-03,3.43E-01,2.11E-01,-1.73E-01,-4.56E-02
4032,11,-1.17E+00,-2.14E-01,-5.23E-01,5.25E-03,3.28E-01,2.56E-01,-1.93E-01,-7.18E-02
4033,11.4,-1.15E+00,-1.57E-01,-5.62E-01,5.77E-03,3.49E-01,2.27E-01,-1.77E-01,-3.15E-02
4034,11.2,-1.16E+00,-1.76E-01,-6.88E-01,3.23E-03,3.19E-01,2.58E-01,-1.90E-01,-5.37E-02
4035,11.2,-1.15E+00,-1.69E-01,-6.99E-01,3.60E-03,3.36E-01,2.13E-01,-1.54E-01,-4.46E-02
4036,11.3,-1.15E+00,-1.53E-01,-7.32E-01,3.32E-03,3.40E-01,1.97E-01,-1.60E-01,-4.45E-02
4037,11.3,-1.20E+00,-1.26E-01,-8.06E-01,2.06E-03,3.30E-01,2.34E-01,-2.63E-01,-8.14E-02
4038,11.1,-1.24E+00,-1.15E-01,-8.24E-01,2.15E-04,2.95E-01,1.84E-01,-2.81E-01,-8.89E-02
4039,11.5,-1.45E+00,6.14E-02,-6.03E-01,-2.47E-04,2.55E-01,8.73E-02,-6.85E-01,-2.20E-01
4040,11.4,-1.62E+00,1.77E-01,-3.60E-01,-1.46E-03,1.96E-01,-8.96E-02,-9.30E-01,-3.25E-01
4041,11.2,-1.73E+00,3.03E-01,6.20E-01,2.35E-03,1.29E-01,-9.46E-01,-7.34E-01,-3.31E-01
4042,11.1,-1.77E+00,3.16E-01,5.67E-01,1.36E-03,1.19E-01,-9.09E-01,-8.38E-01,-3.64E-01
4043,11,-1.83E+00,3.51E-01,5.34E-01,-6.69E-04,8.43E-02,-9.00E-01,-9.59E-01,-4.10E-01
4044,11.1,-1.83E+00,3.73E-01,4.92E-01,-2.06E-03,5.87E-02,-8.45E-01,-1.06E+00,-4.22E-01
4045,10.8,-1.86E+00,3.62E-01,4.26E-01,-4.22E-03,2.64E-02,-8.31E-01,-1.12E+00,-4.55E-01
4046,10.6,-1.81E+00,-1.16E-01,1.38E+00,1.71E-02,1.41E-01,2.64E-01,-1.19E+00,-3.77E-01
4047,10.6,-1.76E+00,-2.39E-01,1.58E+00,2.22E-02,1.74E-01,4.91E-01,-1.13E+00,-3.34E-01
4048,11,-1.78E+00,-1.59E-01,1.53E+00,2.21E-02,1.98E-01,4.15E-01,-1.19E+00,-3.39E-01
4049,10.8,-1.81E+00,-7.85E-02,1.06E+00,1.50E-02,1.63E-01,3.79E-01,-1.26E+00,-3.93E-01
4050,10.6,-1.80E+00,-5.80E-02,6.70E-01,9.57E-03,1.36E-01,3.94E-01,-1.26E+00,-4.16E-01
4051,10.5,-1.62E+00,-1.45E-01,2.42E-01,7.36E-03,1.79E-01,4.30E-01,-9.47E-01,-3.15E-01
4052,10.2,-1.53E+00,-1.89E-01,-2.51E-01,2.07E-03,1.71E-01,4.89E-01,-8.07E-01,-2.84E-01
4053,11.1,-1.42E+00,-1.24E-01,-4.95E-01,3.47E-03,2.67E-01,4.63E-01,-7.06E-01,-2.04E-01
4054,10.6,-1.41E+00,-1.55E-01,-6.74E-01,-3.72E-04,2.18E-01,4.50E-01,-6.20E-01,-1.94E-01
4055,10.5,-1.38E+00,-1.34E-01,-7.87E-01,-3.73E-03,1.71E-01,4.33E-01,-6.37E-01,-2.01E-01
4056,10.7,-1.38E+00,-1.18E-01,-8.61E-01,-2.38E-03,2.27E-01,3.89E-01,-5.87E-01,-1.83E-01
4057,11,-1.37E+00,-6.24E-02,-7.71E-01,-1.35E-03,2.43E-01,2.46E-01,-5.29E-01,-1.62E-01
4058,10.8,-1.29E+00,-8.62E-02,-8.41E-01,-3.67E-03,2.01E-01,2.08E-01,-4.27E-01,-1.06E-01
